	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
0	Personnages	Personnages	Personnages	Personnages
1	Granger	Granger	Granger	Granger
2	.	.	.	.
3	Châteaufort	Châteaufort	Châteaufort	Châteaufort
4	.	.	.	.
5	Charlot	Charlot	Charlot	Charlot
6	.	.	.	.
7	Paquier	Paquier	Paquier	Paquier
8	.	.	.	.
9	Fleury	Fleury	Fleury	Fleury
10	.	.	.	.
11	Corbineli	Corbineli	Corbineli	Corbineli
12	.	.	.	.
13	Genevote	Genevote	Genevote	Genevote
14	.	.	.	.
15	Manon	Manon	Manon	Manon
16	.	.	.	.
17	Gareau	Gareau	Gareau	Gareau
18	.	.	.	.
19	De	De	De	De
20	La	La	La	La
21	Tremblaye	Tremblaye	Tremblaye	Tremblaye
22	.	.	.	.
23	Un	Un	Un	Un
24	cuistre	cuistre	cuistre	cuistre
25	.	.	.	.
26	Acte	Acte	Acte	Acte
27	I	I	I	I
28	Scène	Scène	La	La
29	première	première	scène	scène
30	Granger	Granger	représente	représente
31	,	,	une	une
32	Châteaufort	Châteaufort	rue	rue
33	.	.	de	de
34	Granger	Granger	Paris	Paris
35	Ô	Ô	.	.
36	par	par	Au	Au
37	les	les	premier	premier
38	Dieux	Dieux	plan	plan
39	jumeaux	jumeaux	,	,
40	!	!	à	à
41	tous	tous	droite	droite
42	les	les	,	,
43	Monstres	Monstres	le	le
44	ne	ne	collège	collège
45	sont	sont	de	de
46	pas	pas	Beauvais	Beauvais
47	en	en	;	;
48	Afrique	Afrique	à	à
49	!	!	gauche	gauche
50	Et	Et	,	,
51	de	de	maison	maison
52	grâce	grâce	de	de
53	,	,	La	La
54	Satrape	Satrape	Tremblaye	Tremblaye
55	du	du	;	;
56	Palais	Palais	au	au
57	Stygial	Stygial	deuxième	deuxième
58	,	,	plan	plan
59	donne	donne	à	à
60	-	-	gauche	gauche
61	moi	moi	;	;
62	la	la	maison	maison
63	définition	définition	de	de
64	de	de	Châteaufort	Châteaufort
65	ton	ton	;	;
66	individu	individu	rue	rue
67	.	.	au	au
68	Ne	Ne	fond	fond
69	serais	serais	,	,
70	-	-	qui	qui
71	tu	tu	forme	forme
72	point	point	un	un
73	un	un	angle	angle
74	être	être	droit	droit
75	de	de	avec	avec
76	raison	raison	le	le
77	,	,	collège	collège
78	une	une	;	;
79	chimère	chimère	au	au
80	,	,	delà	delà
81	un	un	,	,
82	accident	accident	on	on
83	sans	sans	aperçoit	aperçoit
84	substance	substance	les	les
85	,	,	toits	toits
86	un	un	du	du
87	élixir	élixir	vieux	vieux
88	de	de	Paris	Paris
89	la	la	,	,
90	matière	matière	et	et
91	première	première	,	,
92	,	,	dans	dans
93	un	un	le	le
94	spectre	spectre	lointain	lointain
95	de	de	,	,
96	drap	drap	la	la
97	noir	noir	tour	tour
98	?	?	de	de
99	Ha	Ha	Nesle	Nesle
100	!	!	,	,
101	tu	tu	au	au
102	n	n	pied	pied
103	’	’	de	de
104	es	es	laquelle	laquelle
105	sans	sans	coule	coule
106	doute	doute	la	la
107	que	que	Seine	Seine
108	cela	cela	.	.
109	,	,	Scène	Scène
110	ou	ou	première	première
111	tout	tout	Granger	Granger
112	au	au	,	,
113	plus	plus	Châteaufort	Châteaufort
114	un	un	.	.
115	grimaud	grimaud	Granger	Granger
116	d	d	,	,
117	’	’	se	se
118	Enfer	Enfer	heurte	heurte
119	qui	qui	contre	contre
120	fait	fait	l	l
121	l	l	’	’
122	’	’	épée	épée
123	école	école	de	de
124	buissonnière	buissonnière	Châteaufort	Châteaufort
125	.	.	.	.
126	Châteaufort	Châteaufort	Oh	Oh
127	Puisque	Puisque	!	!
128	je	je	par	par
129	te	te	les	les
130	vois	vois	Dieux	Dieux
131	curieux	curieux	jumeaux	jumeaux
132	de	de	!	!
133	connaître	connaître	tous	tous
134	les	les	les	les
135	grandes	grandes	monstres	monstres
136	choses	choses	ne	ne
137	,	,	sont	sont
138	je	je	pas	pas
139	veux	veux	en	en
140	t	t	Afrique	Afrique
141	’	’	.	.
142	apprendre	apprendre	Eh	Eh
143	les	les	!	!
144	miracles	miracles	de	de
145	de	de	grâce	grâce
146	mon	mon	,	,
147	berceau	berceau	Satrape	Satrape
148	.	.	du	du
149	La	La	palais	palais
150	Nature	Nature	Stygial	Stygial
151	se	se	,	,
152	voyant	voyant	donne	donne
153	incommodée	incommodée	-	-
154	d	d	moi	moi
155	’	’	la	la
156	un	un	définition	définition
157	si	si	de	de
158	grand	grand	ton	ton
159	nombre	nombre	individu	individu
160	de	de	.	.
161	Divinités	Divinités	Châteaufort	Châteaufort
162	,	,	Puisque	Puisque
163	voulut	voulut	je	je
164	opposer	opposer	te	te
165	un	un	vois	vois
166	Hercule	Hercule	curieux	curieux
167	à	à	de	de
168	ces	ces	connaître	connaître
169	monstres	monstres	les	les
170	.	.	grandes	grandes
171	Cela	Cela	choses	choses
172	lui	lui	,	,
173	donna	donna	je	je
174	bien	bien	veux	veux
175	jusques	jusques	t	t
176	à	à	’	’
177	la	la	apprendre	apprendre
178	hardiesse	hardiesse	les	les
179	de	de	miracles	miracles
180	s	s	de	de
181	’	’	mon	mon
182	imaginer	imaginer	berceau	berceau
183	qu	qu	.	.
184	’	’	La	La
185	elle	elle	Nature	Nature
186	me	me	empoigna	empoigna
187	pouvait	pouvait	les	les
188	produire	produire	âmes	âmes
189	.	.	de	de
190	Pour	Pour	Samson	Samson
191	cet	cet	,	,
192	effet	effet	d	d
193	elle	elle	’	’
194	empoigna	empoigna	Hector	Hector
195	les	les	,	,
196	âmes	âmes	d	d
197	de	de	’	’
198	Samson	Samson	Achille	Achille
199	,	,	,	,
200	d	d	d	d
201	’	’	’	’
202	Hector	Hector	Ajax	Ajax
203	,	,	,	,
204	d	d	de	de
205	’	’	Cyrus	Cyrus
206	Achille	Achille	,	,
207	,	,	d	d
208	d	d	’	’
209	’	’	Épaminondas	Épaminondas
210	Ajax	Ajax	,	,
211	,	,	d	d
212	de	de	’	’
213	Cyrus	Cyrus	Alexandre	Alexandre
214	,	,	,	,
215	d	d	de	de
216	’	’	Romule	Romule
217	Épaminondas	Épaminondas	,	,
218	,	,	de	de
219	d	d	Scipion	Scipion
220	’	’	,	,
221	Alexandre	Alexandre	d	d
222	,	,	’	’
223	de	de	Hannibal	Hannibal
224	Romule	Romule	,	,
225	,	,	de	de
226	de	de	Sylla	Sylla
227	Scipion	Scipion	,	,
228	,	,	de	de
229	d	d	Pompée	Pompée
230	’	’	,	,
231	Hannibal	Hannibal	de	de
232	,	,	Pyrrhus	Pyrrhus
233	de	de	,	,
234	Sylla	Sylla	de	de
235	,	,	Caton	Caton
236	de	de	,	,
237	Pompée	Pompée	de	de
238	,	,	César	César
239	de	de	et	et
240	Pyrrhus	Pyrrhus	d	d
241	,	,	’	’
242	de	de	Antoine	Antoine
243	Caton	Caton	;	;
244	,	,	puis	puis
245	de	de	les	les
246	César	César	ayant	ayant
247	,	,	pulvérisées	pulvérisées
248	et	et	,	,
249	d	d	calcinées	calcinées
250	’	’	,	,
251	Antoine	Antoine	rectifiées	rectifiées
252	;	;	,	,
253	puis	puis	elle	elle
254	les	les	réduisit	réduisit
255	ayant	ayant	toute	toute
256	pulvérisées	pulvérisées	cette	cette
257	,	,	confection	confection
258	calcinées	calcinées	en	en
259	,	,	un	un
260	rectifiées	rectifiées	spirituel	spirituel
261	,	,	sublimé	sublimé
262	elle	elle	qui	qui
263	réduisit	réduisit	n	n
264	toute	toute	’	’
265	cette	cette	attendait	attendait
266	confection	confection	qu	qu
267	en	en	’	’
268	un	un	un	un
269	spirituel	spirituel	fourreau	fourreau
270	sublimé	sublimé	pour	pour
271	qui	qui	s	s
272	n	n	’	’
273	’	’	y	y
274	attendait	attendait	fourrer	fourrer
275	plus	plus	.	.
276	qu	qu	Nature	Nature
277	’	’	,	,
278	un	un	glorieuse	glorieuse
279	fourreau	fourreau	de	de
280	pour	pour	sa	sa
281	s	s	réussite	réussite
282	’	’	,	,
283	y	y	clabauda	clabauda
284	fourrer	fourrer	son	son
285	.	.	chef	chef
286	Nature	Nature	-	-
287	,	,	d	d
288	glorieuse	glorieuse	’	’
289	de	de	œuvre	œuvre
290	son	son	partout	partout
291	réussi	réussi	;	;
292	,	,	l	l
293	ne	ne	’	’
294	pût	pût	art	art
295	goûter	goûter	en	en
296	modérément	modérément	devint	devint
297	sa	sa	jaloux	jaloux
298	joie	joie	,	,
299	,	,	et	et
300	elle	elle	,	,
301	clabauda	clabauda	fâché	fâché
302	son	son	,	,
303	chef	chef	lui	lui
304	-	-	déchira	déchira
305	d	d	sa	sa
306	’	’	coiffe	coiffe
307	œuvre	œuvre	.	.
308	partout	partout	Nature	Nature
309	;	;	de	de
310	l	l	son	son
311	’	’	côté	côté
312	Art	Art	,	,
313	en	en	prit	prit
314	devint	devint	son	son
315	jaloux	jaloux	ennemi	ennemi
316	,	,	aux	aux
317	et	et	cheveux	cheveux
318	fâché	fâché	.	.
319	,	,	Enfin	Enfin
320	disait	disait	,	,
321	-	-	l	l
322	il	il	’	’
323	,	,	un	un
324	qu	qu	et	et
325	’	’	l	l
326	une	une	’	’
327	teigneuse	teigneuse	autre	autre
328	emportât	emportât	battit	battit
329	toute	toute	et	et
330	seule	seule	fut	fut
331	la	la	battu	battu
332	gloire	gloire	.	.
333	de	de	Le	Le
334	m	m	tintamarre	tintamarre
335	’	’	des	des
336	avoir	avoir	démentis	démentis
337	engendré	engendré	,	,
338	,	,	des	des
339	la	la	soufflets	soufflets
340	traita	traita	,	,
341	d	d	des	des
342	’	’	bastonnades	bastonnades
343	ingrate	ingrate	m	m
344	,	,	’	’
345	de	de	éveilla	éveilla
346	superbe	superbe	;	;
347	,	,	je	je
348	lui	lui	les	les
349	déchira	déchira	vis	vis
350	sa	sa	,	,
351	coiffe	coiffe	et	et
352	;	;	jugeant	jugeant
353	Nature	Nature	que	que
354	,	,	leurs	leurs
355	de	de	démêlés	démêlés
356	son	son	ne	ne
357	côté	côté	portaient	portaient
358	,	,	pas	pas
359	prit	prit	la	la
360	son	son	mine	mine
361	ennemi	ennemi	de	de
362	aux	aux	prendre	prendre
363	cheveux	cheveux	fin	fin
364	;	;	,	,
365	enfin	enfin	je	je
366	,	,	me	me
367	l	l	créais	créais
368	’	’	moi	moi
369	un	un	-	-
370	et	et	même	même
371	l	l	.	.
372	’	’	Et	Et
373	autre	autre	prenant	prenant
374	battit	battit	à	à
375	,	,	bon	bon
376	et	et	augure	augure
377	fut	fut	d	d
378	battu	battu	’	’
379	.	.	être	être
380	Le	Le	né	né
381	tintamarre	tintamarre	dans	dans
382	des	des	la	la
383	démentis	démentis	guerre	guerre
384	,	,	,	,
385	des	des	je	je
386	soufflets	soufflets	leur	leur
387	,	,	commandai	commandai
388	des	des	,	,
389	bastonnades	bastonnades	en	en
390	,	,	mémoire	mémoire
391	m	m	de	de
392	’	’	ma	ma
393	éveilla	éveilla	naissance	naissance
394	;	;	,	,
395	je	je	de	de
396	les	les	se	se
397	vis	vis	battre	battre
398	,	,	jusques	jusques
399	et	et	à	à
400	jugeant	jugeant	la	la
401	que	que	fin	fin
402	leurs	leurs	du	du
403	démêlés	démêlés	monde	monde
404	ne	ne	,	,
405	portaient	portaient	sans	sans
406	pas	pas	se	se
407	la	la	reposer	reposer
408	mine	mine	.	.
409	de	de	Donc	Donc
410	prendre	prendre	,	,
411	sitôt	sitôt	afin	afin
412	fin	fin	de	de
413	,	,	ne	ne
414	pour	pour	pas	pas
415	les	les	demeurer	demeurer
416	mettre	mettre	ingrat	ingrat
417	d	d	,	,
418	’	’	je	je
419	accord	accord	voulus	voulus
420	,	,	dépêtrer	dépêtrer
421	je	je	la	la
422	me	me	Nature	Nature
423	créais	créais	de	de
424	moi	moi	ces	ces
425	-	-	Dieutelets	Dieutelets
426	même	même	.	.
427	.	.	Je	Je
428	Depuis	Depuis	les	les
429	ce	ce	demandai	demandai
430	temps	temps	,	,
431	-	-	ils	ils
432	là	là	obéirent	obéirent
433	leur	leur	.	.
434	querelle	querelle	Enfin	Enfin
435	dure	dure	,	,
436	encore	encore	je	je
437	;	;	prononçai	prononçai
438	partout	partout	cet	cet
439	vous	vous	immuable	immuable
440	voyez	voyez	arrêt	arrêt
441	ces	ces	:	:
442	irréconciliables	irréconciliables	«	«
443	ennemis	ennemis	Saturne	Saturne
444	se	se	,	,
445	prêter	prêter	Jupiter	Jupiter
446	le	le	,	,
447	collet	collet	Mars	Mars
448	,	,	,	,
449	et	et	Phébus	Phébus
450	les	les	,	,
451	descriptions	descriptions	Vénus	Vénus
452	de	de	,	,
